data,ticker,fechamento_ajustado,EV_EBIT,ROIC,EBIT_EV,valor_de_mercado,year,month
2014-02-28,PNVL3,5.67,10.6231,0.18041,0.09413448051886925,807362551.0,2014,2
2014-03-31,PNVL3,5.33,10.51856,0.182,0.09507004761107983,768043468.0,2014,3
2014-04-30,PNVL3,4.64,9.35751,0.182,0.10686603594332253,678147091.0,2014,4
2014-05-30,PNVL3,5.84,11.67607,0.1738,0.0856452556382413,830104973.0,2014,5
2014-06-30,PNVL3,6.57,12.88002,0.1738,0.07763963099436182,922696007.0,2014,6
2014-07-31,PNVL3,7.23,14.19032,0.1738,0.07047057430699237,1023466091.0,2014,7
2014-08-29,PNVL3,6.93,14.25949,0.16294,0.07012873531942587,978774505.0,2014,8
2014-09-30,PNVL3,6.99,14.53994,0.16294,0.06877607472933175,1000040424.0,2014,9
2014-10-31,PNVL3,6.33,13.35051,0.16294,0.07490350555896366,909848339.0,2014,10
2014-11-28,PNVL3,6.61,15.5287,0.14342,0.06439689091810648,934834525.0,2014,11
2014-12-30,PNVL3,6.82,15.8913,0.14342,0.0629275137968574,958938874.0,2014,12
2015-01-30,PNVL3,6.5,15.26479,0.14342,0.06551023630197336,917290759.0,2015,1
2015-02-27,PNVL3,6.72,15.69821,0.14342,0.06370153030186244,946103123.0,2015,2
2015-03-31,PNVL3,6.33,13.39454,0.14662,0.0746572857298571,920688277.0,2015,3
2015-04-30,PNVL3,6.67,13.32225,0.14662,0.0750623956163561,915170417.0,2015,4
2015-05-29,PNVL3,6.35,13.31676,0.14241,0.07509334102289145,892886465.0,2015,5
2015-06-30,PNVL3,6.79,13.85785,0.14241,0.07216126599725066,933923503.0,2015,6
2015-07-31,PNVL3,6.26,13.31616,0.14241,0.07509672458126067,892840809.0,2015,7
2015-08-31,PNVL3,6.07,12.36917,0.13596,0.08084616833627478,849432674.0,2015,8
2015-09-30,PNVL3,6.6,13.1085,0.13596,0.07628637906701759,907094068.0,2015,9
2015-10-30,PNVL3,6.75,13.55505,0.13596,0.07377324318243017,941920912.0,2015,10
2015-11-30,PNVL3,8.01,14.29814,0.14529,0.06993916691261941,1084583274.0,2015,11
2015-12-30,PNVL3,9.24,16.41197,0.14529,0.06093113745638092,1261083530.0,2015,12
2016-01-29,PNVL3,8.98,15.99607,0.14529,0.06251535533415395,1226357022.0,2016,1
2016-02-29,PNVL3,9.08,15.93346,0.14529,0.0627610073392722,1221129139.0,2016,2
